Year,month,inflation,unemployment
2004,Nov,5.242922055226638e-4,5.4
2004,Dec,-0.0036835642869672384,5.4
2005,Jan,0.0019257703081232889,5.3
2005,Feb,0.005744125326370678,5.4
2005,Mar,0.007772020725388601,5.2
2005,Apr,0.006690684508491984,5.2
2005,May,-8.585164835164835e-4,5.1
2005,Jun,3.4328870580165716e-4,5
2005,Jul,0.004442925495557113,5
2005,Aug,0.0051003060183611015,4.9
2005,Sep,0.012092710782667,5
2005,Oct,0.002178649237472881,5
2005,Nov,-0.007939189189189266,5
2005,Dec,-0.004411265693926065,4.9
2006,Jan,0.0075770331705674356,4.7
2006,Feb,0.002184139784946351,4.8
2006,Mar,0.005679919812896721,4.7
2006,Apr,0.008119304059651992,4.7
2006,May,0.00494641384995878,4.6
