sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120023252531	62200605	13	4	0	C61LB1437	985120011681308	62	200605
985120023252531	62200610	6	5	4	C61LB1437	985120011681308	62	200610
985120023255195	62200505	10	1	0	C40LA11101	985120011555711	62	200505
985120023255456	62200504	13	1	2	C61LB2171	985120012144345	62	200504
985120023264089	62200502	8	1	0	C40LA11101	985120012125009	62	200502
985120023264089	62200507	6	2	0	C40LA11101	985120012125009	62	200507
985120023268164	62200408	14	1	2	C63LY12313	985120011673002	62	200408
985120023268164	62200501	12	2	1	C63LY12313	985120011673002	62	200501
985120023268164	62200505	12	3	1	C63LY12313	985120011673002	62	200505
985120023268164	62200510	11	4	2	C63LY12313	985120011673002	62	200510
985120023276123	62200408	13	1	2	C40LA11101	985120011548058	62	200408
985120025392218	62200503	12	1	0	C61LB2171	985120012144345	62	200503
985120025392218	62200508	8	2	0	C61LB2171	985120012144345	62	200508
985120025393806	62200503	6	1	0	C40LA11101	985120011555711	62	200503
985120025393806	62200507	8	2	0	C40LA11101	985120011555711	62	200507
985120025397118	62200503	13	1	0	C40LA11101	985120012120944	62	200503
985120025397118	62200508	12	2	0	C40LA11101	985120012120944	62	200508
985120025398712	62200503	9	1	0	C61LB1437	985120012131584	62	200503
985120025398712	62200507	12	2	2	C61LB1437	985120012131584	62	200507
985120025398712	62200512	14	3	0	C61LB1437	985120012131584	62	200512
985120025398712	62200604	16	4	3	C61LB1437	985120012131584	62	200604
985120025398712	62200609	11	5	0	C61LB1437	985120012131584	62	200609
985120025398712	62200702	13	6	0	C61LB1437	985120012131584	62	200702
985120025403522	62200504	10	1	0	C61LB1437	985120012131584	62	200504
985120025404018	62200502	14	1	0	C61LB1437	985120012421578	62	200502
985120025404018	62200507	10	2	1	C61LB1437	985120012421578	62	200507
985120025542448	62200505	7	1	0	C40LA11194	985120023063298	62	200505
985120025542448	62200510	8	2	0	C40LA11194	985120023063298	62	200510
985120025542448	62200604	8	3	2	C40LA11194	985120023063298	62	200604
985120025542448	62200609	8	4	2	C40LA11194	985120023063298	62	200609
985120025547134	62200510	10	1	0	011865	985120026515187	62	200510
985120025547134	62200602	9	2	0	011865	985120026515187	62	200602
985120025547134	62200607	11	3	0	011865	985120026515187	62	200607
985120025547134	62200611	7	4	0	011865	985120026515187	62	200611
